A	B	DA	DB	R
9000	10000	0	365	1
70	100	0	1825	0
9500	10000	0	1825	1
200	500	0	1825	1
950	1000	0	1825	0
5	100	0	1825	1
450	500	0	1825	1
75	100	0	1825	0
65	100	0	1825	0
60	100	0	1825	0
55	100	0	1825	0
475	500	0	1825	0
900	1000	0	1825	1
35	100	0	1825	1
45	100	0	1825	1
75	100	0	730	0
95	100	0	90	0
50	100	0	1825	1
80	100	0	1825	0
85	100	0	365	0
40	100	0	1825	1
85	100	0	1825	0
65	100	0	730	1
70	100	0	1825	0
70	100	0	730	1
80	100	0	730	0
85	100	0	730	0
90	100	0	1825	0
90	100	0	180	1
75	100	0	1825	0
65	100	0	1825	0
60	100	0	1825	0
95	100	0	1825	0
55	100	0	1825	1
30	100	0	1825	1
90	100	0	730	0
95	100	0	730	0
75	100	0	730	0
375	500	0	1825	1
80	100	0	365	1
